Note,Category
Wedding gift for colleague,Gift
Pet grooming at PetSmart,Pet
Water bill for condo,Household
Train fare to downtown,Transportation
Cocktail night at The Alchemist,Social Life
Dinner at Olive Garden,Food
Nike running shoes,Apparel
Tuition for Coursera specialization,Education
Allowance for lunch,Allowance
Public speaking seminar,Education
Body lotion from L'Occitane,Beauty
Anniversary gift for spouse,Gift
Pet insurance from Healthy Paws,Pet
Home renovation costs,Household
Lyft ride to the airport,Transportation
Dinner at Nobu,Food
Fashion accessories from Zara,Apparel
Online course on Udemy,Education
Allowance for daily snacks,Allowance
Mindfulness retreat in Bali,Education
Night cream from Estée Lauder,Beauty
Christmas gift for niece,Gift
Pet food from Blue Buffalo,Pet
Monthly internet bill from Xfinity,Household
Bus fare for daily commute,Transportation
Weekend trip to Yosemite,Other
Dessert at Ghirardelli,Food
Hiking gear from REI,Apparel
Fee for PMP exam,Education
Allowance for weekend outings,Allowance
Life coaching session,Education
Lipstick from MAC,Beauty
New Year gift for neighbor,Gift
Pet bed from Amazon,Pet
Electric bill from Southern California Edison,Household
Taxi fare to conference,Transportation
Family dinner at home,Food
Winter jacket from Columbia,Apparel
Online subscription to Skillshare,Education
Allowance for movie tickets,Allowance
Personal development workshop,Education
Face mask from The Body Shop,Beauty
Housewarming gift for friend,Gift
Pet vitamins from PetSmart,Pet
Monthly rent for apartment,Household
Train ticket to Chicago,Transportation
Night out at Dave & Buster's,Social Life
Dinner at Cheesecake Factory,Food
Gym clothes from Under Armour,Apparel
Fee for GRE test,Education
Allowance for school supplies,Allowance
Inspirational seminar by Brené Brown,Education
Hair conditioner from Dove,Beauty
Birthday gift for brother,Gift
Pet grooming kit from Chewy,Pet
Gas bill for winter,Household
Rental car for road trip,Transportation
Friends' night out at karaoke,Social Life
Brunch at IHOP,Food
Office wear from Banana Republic,Apparel
Course registration fee on edX,Education
Allowance for tech gadgets,Allowance
Self-help book by James Clear,Education
Serum from The Ordinary,Beauty
Graduation present for cousin,Gift
Pet health checkup at VCA,Pet
Monthly cable bill from Spectrum,Household
Commuter train fare,Transportation
Weekend hiking trip,Other
Gourmet chocolate from Godiva,Food
Designer handbag from Gucci,Apparel
Fee for online degree program,Education
Allowance for family activities,Allowance
Webinar on financial literacy,Education
Body wash from Neutrogena,Beauty
Thank you gift for teacher,Gift
Pet leash from Petco,Pet
Home cleaning service,Household
Scooter rental for city tour,Transportation
Office holiday party,Social Life
Healthy meal kit from HelloFresh,Food
Running shoes from Asics,Apparel
Class fee for pottery workshop,Education
Allowance for daily expenses,Allowance
Workshop on leadership skills,Education
Moisturizer from CeraVe,Beauty
Christmas gift for grandma,Gift
Pet grooming session at PetSmart,Pet
Monthly water bill for house,Household
Taxi ride to hotel,Transportation
Birthday party at Chuck E. Cheese's,Social Life
Dinner at Red Lobster,Food
Casual wear from H&M,Apparel
Fee for professional certification,Education
Allowance for extracurricular activities,Allowance
Motivational talk by Simon Sinek,Education
Sunscreen from La Roche-Posay,Beauty
Gift for coworker's baby shower,Gift
Pet food from Royal Canin,Pet
Monthly gas bill for apartment,Household
Ride-sharing fare with Lyft,Transportation
Community festival tickets,Social Life
Lunch at Shake Shack,Food
Dress shoes from Clarks,Apparel
Online subscription to The New York Times,Education
Allowance for weekend adventures,Allowance
Career advancement course on LinkedIn Learning,Education
Face serum from Olay,Beauty
Gift for dad's birthday,Gift
Pet healthcare products from Petco,Pet
Home improvement store bill from Home Depot,Household
Bus fare to work,Transportation
Friends' movie night at AMC,Social Life
Dinner at P.F. Chang's,Food
Outdoor gear from Patagonia,Apparel
Exam fee for CFA certification,Education
Allowance for daily coffee,Allowance
Personal finance class on Coursera,Education
Anti-aging cream from Neutrogena,Beauty
Gift for boss's retirement,Gift
Pet travel carrier from PetSmart,Pet
Monthly mortgage payment,Household
Train fare for daily commute,Transportation
Neighborhood block party,Social Life
Brunch at local café,Food
Formal attire from Brooks Brothers,Apparel
Fee for professional development course,Education
Allowance for gym membership,Allowance
Self-improvement book by Dale Carnegie,Education
Hand cream from Burt's Bees,Beauty
Gift for anniversary,Gift
Pet supplements from Chewy,Pet
Monthly rent for duplex,Household
Electric scooter rental for commute,Transportation
Family picnic at the park,Social Life
Organic groceries from Whole Foods,Food
Fashionable jacket from Zara,Apparel
Registration fee for coding bootcamp,Education
Allowance for hobby supplies,Allowance
Workshop on time management,Education
Hair mask from Pantene,Beauty
Graduation gift for nephew,Gift
Pet grooming appointment at PetSmart,Pet
Home security system bill from ADT,Household
Daily train fare to university,Transportation
Friends' dinner party at home,Social Life
Dinner at The Melting Pot,Food
Designer jeans from Levi's,Apparel
Online course subscription on Lynda,Education
Allowance for school trips,Allowance
Life coaching session with Tony Robbins,Education
Facial oil from The Body Shop,Beauty
New Year's gift for siblings,Gift
Pet care kit from Chewy,Pet
Monthly utility bill from Con Edison,Household
Monthly rent for luxury loft,Household
Sushi dinner at Nobu,Food
Netflix Premium subscription,Entertainment
Uber fare to city center,Transportation
Yoga class at CorePower Yoga,Health
Grocery run to Whole Foods,Food
Purchase of iPhone 14 Pro,Other
Weekend stay at Four Seasons,Other
Apple Watch Series 7,Apparel
Online MBA tuition,Education
Weekly pocket money from grandparents,Allowance
Tony Robbins motivational book,Education
Night cream from Estée Lauder,Beauty
Christmas gift for mom,Gift
Vet visit at Banfield,Pet
Monthly electric bill from PG&E,Household
Train fare to office,Transportation
Lunch at Cheesecake Factory,Food
Purchase of Sony 4K TV,Other
Winter boots from The North Face,Apparel
GRE exam fee,Education
Allowance for online gaming,Allowance
Leadership seminar by John Maxwell,Education
Hair treatment from Aveda,Beauty
Anniversary gift for wife,Gift
Pet grooming at PetSmart,Pet
Monthly water bill for apartment,Household
Lyft ride to airport,Transportation
Brunch at The Ivy,Social Life
Grocery shopping at Trader Joe's,Food
Levi's jeans purchase,Apparel
Enrollment for online coding bootcamp,Education
Allowance for school activities,Allowance
Time management workshop,Education
Face mask from The Body Shop,Beauty
Birthday gift for dad,Gift
Pet food from Blue Buffalo,Pet
Gas bill from Southern California Gas Company,Household
Daily bus fare,Transportation
Dinner at Red Lobster,Food
Casual shoes from Vans,Apparel
SAT registration fee,Education
Allowance for weekend outings,Allowance
Inspirational talk by Brené Brown,Education
Lip balm from Burt's Bees,Beauty
Graduation gift for sister,Gift
Pet grooming kit from Chewy,Pet
Monthly rent for penthouse,Household
Car rental for road trip,Transportation
Friends' night out at karaoke bar,Social Life
Organic meal from Blue Apron,Food
Athletic wear from Under Armour,Apparel
Tuition for Harvard online course,Education
Allowance for tech gadgets,Allowance
Personal finance course on Coursera,Education
Anti-aging serum from L'Oréal,Beauty
Valentine's Day gift for partner,Gift
Pet health checkup at VCA,Pet
Monthly cable bill from Spectrum,Household
Daily commute on BART,Transportation
Lunch with colleagues at Olive Garden,Social Life
Healthy snacks from Sprouts,Food
Designer dress from Gucci,Apparel
Online course fee for edX,Education
Allowance for movie tickets,Allowance
Motivational seminar by Mel Robbins,Education
Hair conditioner from Pantene,Beauty
Holiday gift for team,Gift
Pet supplies from Petco,Pet
Monthly utility bill from Con Edison,Household
Train ticket to New York,Transportation
Family dinner at The Melting Pot,Social Life
Dinner at Outback Steakhouse,Food
Jacket from Patagonia,Apparel
Tuition fee for online certification,Education
Allowance for fitness classes,Allowance
Career coaching session with LinkedIn,Education
Facial scrub from St. Ives,Beauty
New Year gift for neighbor,Gift
Pet vitamins from PetSmart,Pet
Monthly water bill for house,Household
Ride-sharing fare with Lyft,Transportation
Office holiday party,Social Life
Lunch at Chipotle,Food
Casual wear from H&M,Apparel
Registration fee for PMP certification,Education
Allowance for extracurricular activities,Allowance
Life coaching session with Tony Robbins,Education
Body wash from Dove,Beauty
Housewarming gift for friend,Gift
Pet bed from Amazon,Pet
Monthly rent for downtown condo,Household
Taxi fare to airport,Transportation
